source_url,source_name,sportsbook,retrieval_timestamp,nfl_week,game_date,player,position,team,opponent,stat_category,line,over_price,under_price
https://fantasyteamadvice.com/nfl/gameday-props,FantasyTeamAdvice,DraftKings,2026-09-23T12:55:24-04:00,3,2026-09-27,Chase Brown,RB,CIN,PIT,RB receiving yards,22.5,-108,-116
https://fantasyteamadvice.com/nfl/gameday-props,FantasyTeamAdvice,DraftKings,2026-09-23T12:55:24-04:00,3,2026-09-27,Breece Hall,RB,NYJ,DET,RB receiving yards,21.5,-112,-112
https://fantasyteamadvice.com/nfl/gameday-props,FantasyTeamAdvice,DraftKings,2026-09-23T12:55:24-04:00,3,2026-09-27,Javonte Williams,RB,DAL,BAL,RB receiving yards,17.5,-111,-113
https://fantasyteamadvice.com/nfl/gameday-props,FantasyTeamAdvice,DraftKings,2026-09-23T12:55:24-04:00,3,2026-09-28,Saquon Barkley,RB,PHI,CHI,RB receiving yards,14.5,-108,-117
https://fantasyteamadvice.com/nfl/gameday-props,FantasyTeamAdvice,DraftKings,2026-09-23T12:55:24-04:00,3,2026-09-27,Rhamondre Stevenson,RB,NE,JAX,RB receiving yards,13.5,-112,-112
https://fantasyteamadvice.com/nfl/gameday-props,FantasyTeamAdvice,DraftKings,2026-09-23T12:55:24-04:00,3,2026-09-27,Omarion Hampton,RB,LAC,BUF,RB receiving yards,11.5,-115,-109
https://fantasyteamadvice.com/nfl/gameday-props,FantasyTeamAdvice,DraftKings,2026-09-23T12:55:24-04:00,3,2026-09-27,TreVeyon Henderson,RB,NE,JAX,RB receiving yards,8.5,-112,-112
https://fantasyteamadvice.com/nfl/gameday-props,FantasyTeamAdvice,DraftKings,2026-09-23T12:55:24-04:00,3,2026-09-27,Bhayshul Tuten,RB,JAX,NE,RB receiving yards,9.5,-108,-116
https://fantasyteamadvice.com/nfl/gameday-props,FantasyTeamAdvice,DraftKings,2026-09-23T12:55:24-04:00,3,2026-09-27,Amon-Ra St. Brown,WR,DET,NYJ,WR receptions,7.5,+118,-150
https://fantasyteamadvice.com/nfl/gameday-props,FantasyTeamAdvice,DraftKings,2026-09-23T12:55:24-04:00,3,2026-09-27,CeeDee Lamb,WR,DAL,BAL,WR receptions,7.5,+118,-151
https://fantasyteamadvice.com/nfl/gameday-props,FantasyTeamAdvice,DraftKings,2026-09-23T12:55:24-04:00,3,2026-09-27,Ja'Marr Chase,WR,CIN,PIT,WR receptions,6.5,-144,+113
https://fantasyteamadvice.com/nfl/gameday-props,FantasyTeamAdvice,DraftKings,2026-09-23T12:55:24-04:00,3,2026-09-24,Drake London,WR,ATL,GB,WR receptions,5.5,-101,-127
https://fantasyteamadvice.com/nfl/gameday-props,FantasyTeamAdvice,DraftKings,2026-09-23T12:55:24-04:00,3,2026-09-27,Justin Jefferson,WR,MIN,TB,WR receptions,5.5,-112,-114
https://fantasyteamadvice.com/nfl/gameday-props,FantasyTeamAdvice,DraftKings,2026-09-23T12:55:24-04:00,3,2026-09-27,Garrett Wilson,WR,NYJ,DET,WR receptions,5.5,-101,-126
https://fantasyteamadvice.com/nfl/gameday-props,FantasyTeamAdvice,DraftKings,2026-09-23T12:55:24-04:00,3,2026-09-27,Zay Flowers,WR,BAL,DAL,WR receptions,5.5,+110,-140
https://fantasyteamadvice.com/nfl/gameday-props,FantasyTeamAdvice,DraftKings,2026-09-23T12:55:24-04:00,3,2026-09-27,George Pickens,WR,DAL,BAL,WR receptions,4.5,-156,+122
https://fantasyteamadvice.com/nfl/gameday-props,FantasyTeamAdvice,DraftKings,2026-09-23T12:55:24-04:00,3,2026-09-24,Bijan Robinson,RB,ATL,GB,RB receptions,4.5,-112,-114
https://fantasyteamadvice.com/nfl/gameday-props,FantasyTeamAdvice,DraftKings,2026-09-23T12:55:24-04:00,3,2026-09-27,Jahmyr Gibbs,RB,DET,NYJ,RB receptions,4.5,-110,-116
https://fantasyteamadvice.com/nfl/gameday-props,FantasyTeamAdvice,DraftKings,2026-09-23T12:55:24-04:00,3,2026-09-27,Jameson Williams,WR,DET,NYJ,WR receptions,3.5,-165,+129
https://fantasyteamadvice.com/nfl/gameday-props,FantasyTeamAdvice,DraftKings,2026-09-23T12:55:24-04:00,3,2026-09-27,Jaylen Waddle,WR,DEN,LAR,WR receptions,4.5,-148,+116
https://fantasyteamadvice.com/nfl/gameday-props,FantasyTeamAdvice,DraftKings,2026-09-23T12:55:24-04:00,3,2026-09-24,Christian Watson,WR,GB,ATL,WR receptions,4.5,-133,+104
